Workload,QueryNum,NumWorkers,MinLatency,MaxLatency,MedianLatency,MeanLatency,StdLatency,TimeStamp,,,,,,,,
2,1,1,0.001269102,0.014735699,0.001345873,0.003997707,0.006002875,50:48.3,,,,,,,,
2,1,2,0.004984379,0.013128996,0.005236149,0.006770086,0.003556725,50:50.3,,,,,,,,
2,1,3,0.006340027,0.010461807,0.007573605,0.007928038,0.001521279,50:52.6,,,,,,,,
2,1,4,0.009049892,0.015611172,0.009432077,0.010755634,0.002787927,50:54.9,,,,,1 Worker,2 Workers,3 Workers,4 Workers
2,2,1,0.004034519,0.006080151,0.004150391,0.004582834,0.000858861,50:48.6,,,,Query 1,0.003997707,0.006770086,0.007928038,0.010755634
2,2,2,0.009393454,0.013889313,0.010852098,0.011117458,0.001663138,50:50.7,,,,Query 2,0.004582834,0.011117458,0.017385435,0.020970964
2,2,3,0.016193151,0.021504164,0.016387701,0.017385435,0.002308356,50:52.9,,,,Query 3,0.00147481,0.006944561,0.008232164,0.011376238
2,2,4,0.019408464,0.023557663,0.020559788,0.020970964,0.001571068,50:55.3,,,,Query 4,0.005615187,0.013678265,0.020737696,0.025862217
2,3,1,0.00135684,0.001847506,0.001401424,0.00147481,0.000209709,50:48.9,,,,Query 5,0.001177788,0.005792809,0.006873989,0.010240269
2,3,2,0.005210638,0.012833595,0.005469084,0.006944561,0.003297855,50:51.0,,,,Query 6,0.001785707,0.005661058,0.008659172,0.010152912
2,3,3,0.006842136,0.010094643,0.008167744,0.008232164,0.001176759,50:53.3,,,,Query 7,0.001572609,0.006747818,0.008432865,0.01081233
2,3,4,0.009484291,0.017331839,0.009769917,0.011376238,0.003353817,50:55.6,,,,,,,,
2,4,1,0.005160809,0.006815434,0.005297422,0.005615187,0.000688247,50:49.2,,,,,,,,
2,4,2,0.01279974,0.016556978,0.012970686,0.013678265,0.001615539,50:51.3,,,,,,,,
2,4,3,0.018876553,0.02717948,0.019273758,0.020737696,0.003608012,50:53.6,,,,,,,,
2,4,4,0.024091959,0.029224396,0.025594711,0.025862217,0.002066298,50:56.1,,,,,,,,
2,5,1,0.001045227,0.00147295,0.001130581,0.001177788,0.000169174,50:49.5,,,,,,,,
2,5,2,0.003882885,0.010545492,0.004823685,0.005792809,0.002690704,50:51.6,,,,,,,,
2,5,3,0.004687309,0.009851694,0.006882906,0.006873989,0.001915281,50:53.9,,,,,,,,
2,5,4,0.008666515,0.015296459,0.008805513,0.010240269,0.002852175,50:56.4,,,,,,,,
2,6,1,0.001285076,0.003678799,0.001297712,0.001785707,0.001059036,50:49.7,,,,,,,,
2,6,2,0.004016399,0.008955956,0.005542994,0.005661058,0.001974959,50:51.9,,,,,,,,
2,6,3,0.006611347,0.013374567,0.007491112,0.008659172,0.002706118,50:54.3,,,,,,,,
2,6,4,0.008768082,0.012557745,0.010210037,0.010152912,0.001509524,50:56.7,,,,,,,,
2,7,1,0.001381397,0.001864195,0.001486063,0.001572609,0.000201675,50:50.0,,,,,,,,
2,7,2,0.005393744,0.011826277,0.005425453,0.006747818,0.002841712,50:52.2,,,,,,,,
2,7,3,0.006682873,0.011435986,0.007801056,0.008432865,0.001955297,50:54.6,,,,,,,,
2,7,4,0.008571148,0.015912771,0.009814262,0.01081233,0.002941687,50:57.0,,,,,,,,
